Sat Mar 28 16:22:21 CET 2020: ---------Ö------------3-------------------------
Building population..
0 1000000 2000000 3000000 4000000 5000000 6000000 7000000 8000000 9000000 10000000 11000000 12000000 13000000 14000000 15000000 16000000 17000000 18000000 19000000 20000000 21000000 22000000 23000000 24000000 25000000 26000000 27000000 28000000 29000000 30000000 31000000 32000000 33000000 34000000 35000000 36000000 37000000 38000000 39000000 40000000 41000000 42000000 43000000 44000000 45000000 46000000 47000000 48000000 49000000 50000000 51000000 52000000 53000000 54000000 55000000 56000000 57000000 58000000 59000000 60000000 61000000 62000000 63000000 64000000 65000000 66000000 67000000 68000000 69000000 70000000 71000000 72000000 73000000 74000000 75000000 76000000 77000000 78000000 79000000 80000000 81000000 82000000 
Sat Mar 28 16:23:13 CET 2020: Datum, Betroffen, Erkrankt, Immun, Krankenhaus, Intensivstation, Gestorben, Positiv getestet, Gesamt getestet
30.01. , 240 , 240 , 0 , 0 , 0 , 0 , 0 , 1000 , false
31.01. , 305 , 305 , 0 , 0 , 0 , 0 , 0 , 2000 , false
01.02. , 397 , 397 , 0 , 0 , 0 , 0 , 0 , 3000 , false
02.02. , 519 , 519 , 0 , 0 , 0 , 0 , 0 , 4000 , false
03.02. , 681 , 681 , 0 , 0 , 0 , 0 , 1 , 5000 , false
04.02. , 880 , 880 , 0 , 0 , 0 , 0 , 1 , 6000 , false
05.02. , 1136 , 1136 , 0 , 0 , 0 , 0 , 1 , 7000 , false
06.02. , 1467 , 1467 , 0 , 0 , 0 , 0 , 1 , 8000 , false
07.02. , 1906 , 1906 , 0 , 2 , 0 , 0 , 1 , 9000 , false
08.02. , 2432 , 2432 , 0 , 2 , 0 , 0 , 1 , 10000 , false
09.02. , 3191 , 3189 , 2 , 4 , 0 , 0 , 2 , 11500 , false
10.02. , 4138 , 4136 , 2 , 7 , 0 , 0 , 3 , 13000 , false
11.02. , 5325 , 5321 , 4 , 9 , 0 , 0 , 4 , 14500 , false
12.02. , 6883 , 6878 , 5 , 15 , 2 , 0 , 6 , 16000 , false
13.02. , 8926 , 8919 , 7 , 19 , 2 , 0 , 8 , 17500 , false
14.02. , 10437 , 10424 , 13 , 28 , 4 , 0 , 11 , 19000 , false
15.02. , 12309 , 12293 , 16 , 35 , 5 , 0 , 14 , 20500 , false
16.02. , 14540 , 14515 , 25 , 42 , 7 , 0 , 18 , 22000 , false
17.02. , 16963 , 16694 , 269 , 50 , 9 , 0 , 23 , 23500 , false
18.02. , 19890 , 19548 , 342 , 62 , 10 , 0 , 28 , 25000 , false
19.02. , 23306 , 22866 , 440 , 75 , 12 , 0 , 38 , 27500 , false
20.02. , 27400 , 26831 , 569 , 94 , 14 , 1 , 50 , 30000 , false
21.02. , 32075 , 31337 , 738 , 133 , 20 , 1 , 64 , 32500 , false
22.02. , 37521 , 36571 , 950 , 152 , 21 , 2 , 81 , 35000 , false
23.02. , 43854 , 42614 , 1240 , 179 , 28 , 2 , 100 , 37500 , false
24.02. , 51293 , 49715 , 1578 , 213 , 32 , 2 , 122 , 40000 , false
25.02. , 60005 , 57969 , 2036 , 262 , 39 , 3 , 148 , 42500 , false
26.02. , 70054 , 67472 , 2582 , 292 , 50 , 3 , 178 , 45000 , false
27.02. , 81792 , 78415 , 3377 , 336 , 61 , 4 , 213 , 47500 , false
28.02. , 95354 , 91014 , 4340 , 401 , 71 , 7 , 254 , 50000 , false
29.02. , 111009 , 105450 , 5559 , 478 , 80 , 8 , 349 , 55000 , false
01.03. , 129237 , 122086 , 7151 , 563 , 100 , 10 , 459 , 60000 , false
02.03. , 150390 , 141168 , 9222 , 663 , 116 , 13 , 587 , 65000 , false
03.03. , 174733 , 163938 , 10795 , 774 , 138 , 15 , 735 , 70000 , false
04.03. , 203176 , 190443 , 12733 , 923 , 159 , 17 , 907 , 75000 , false
05.03. , 226434 , 211389 , 15045 , 1085 , 173 , 21 , 1098 , 80000 , false
06.03. , 252229 , 234678 , 17551 , 1282 , 204 , 28 , 1310 , 85000 , false
07.03. , 280740 , 260161 , 20579 , 1496 , 242 , 35 , 1545 , 90000 , false
08.03. , 312616 , 288486 , 24130 , 1746 , 285 , 41 , 1806 , 95000 , false
09.03. , 347376 , 319012 , 28364 , 2068 , 329 , 45 , 2094 , 100000 , false
10.03. , 386196 , 353005 , 33191 , 2411 , 384 , 54 , 2796 , 111000 , false
11.03. , 429236 , 390381 , 38855 , 2807 , 444 , 58 , 3572 , 122000 , false
12.03. , 476660 , 431254 , 45406 , 3263 , 518 , 64 , 4429 , 133000 , false
13.03. , 528660 , 475553 , 53107 , 3634 , 596 , 69 , 5374 , 144000 , false
14.03. , 585665 , 523571 , 62094 , 3988 , 692 , 80 , 6415 , 155000 , false
15.03. , 648526 , 576171 , 72355 , 4460 , 754 , 93 , 7560 , 166000 , false
16.03. , 717967 , 633718 , 84249 , 4949 , 837 , 108 , 8820 , 177000 , false
17.03. , 794478 , 696449 , 98029 , 5522 , 917 , 133 , 10205 , 188000 , false
18.03. , 877434 , 763545 , 113889 , 6115 , 1013 , 155 , 11723 , 199000 , false
19.03. , 968989 , 836667 , 132322 , 6845 , 1108 , 188 , 13386 , 210000 , false
20.03. , 1068711 , 914993 , 153718 , 7608 , 1185 , 217 , 17024 , 232000 , false
21.03. , 1178342 , 999999 , 178343 , 8427 , 1297 , 254 , 21000 , 254000 , false
22.03. , 1296319 , 1089295 , 207024 , 9348 , 1399 , 300 , 25331 , 276000 , false
23.03. , 1425278 , 1194625 , 230653 , 10292 , 1555 , 337 , 30081 , 298000 , false
24.03. , 1568033 , 1311114 , 256919 , 11455 , 1706 , 391 , 35294 , 320000 , false
25.03. , 1567985 , 1282136 , 285849 , 12612 , 1874 , 439 , 40392 , 342000 , false
26.03. , 1567939 , 1249612 , 318327 , 13914 , 2057 , 485 , 45360 , 364000 , false
27.03. , 1567893 , 1214314 , 353579 , 15340 , 2275 , 531 , 50188 , 386000 , false
28.03. , 1567840 , 1174814 , 393026 , 16937 , 2496 , 584 , 54859 , 408000 , false
29.03. , 1567774 , 1131090 , 436684 , 18528 , 2730 , 650 , 59356 , 430000 , false
30.03. , 1567698 , 1082855 , 484843 , 20378 , 2980 , 726 , 64248 , 455000 , false
31.03. , 1567634 , 1030048 , 537586 , 22431 , 3184 , 790 , 68902 , 480000 , false
01.04. , 1567540 , 972190 , 595350 , 24606 , 3521 , 884 , 73294 , 505000 , false
02.04. , 1567458 , 908344 , 659114 , 23950 , 3862 , 966 , 77398 , 530000 , false
03.04. , 1567343 , 837876 , 729467 , 23255 , 4199 , 1081 , 81184 , 555000 , false
04.04. , 1567229 , 762411 , 804818 , 23255 , 3798 , 1195 , 84629 , 580000 , false
05.04. , 1567110 , 680691 , 886419 , 23255 , 3396 , 1314 , 87704 , 605000 , false
06.04. , 1566996 , 590480 , 976516 , 23255 , 2946 , 1428 , 90372 , 630000 , false
07.04. , 1566866 , 492236 , 1074630 , 23255 , 2454 , 1558 , 92596 , 655000 , false
08.04. , 1566722 , 384135 , 1182587 , 23255 , 1980 , 1702 , 94332 , 680000 , false
09.04. , 1566537 , 267825 , 1298712 , 23255 , 1351 , 1887 , 95542 , 705000 , false
10.04. , 1566347 , 140700 , 1425647 , 23255 , 695 , 2077 , 96178 , 730000 , false
11.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 755000 , false
12.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 780000 , false
13.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 805000 , false
14.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 830000 , false
15.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 855000 , false
16.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 880000 , false
17.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 905000 , false
18.04. , 1566156 , 0 , 1566156 , 23255 , 0 , 2268 , 96178 , 930000 , false
